barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,observations,plot_trap_disassemble,larvae_in_tray_manual,tray_observation
Plot122_Spalte3_Reihe2_R4S_150_M,122,3,2,150,807.0,0.807,10,80.7,,122,0,
Plot123_Spalte3_Reihe3_R4S_271_C,123,3,3,271,300.0,0.3,10,30.0,,123,0,
Plot124_Spalte3_Reihe4_R4S_478_H,124,3,4,478,413.0,0.413,10,41.3,root with central damage (larvae?,124,0,
Plot125_Spalte3_Reihe5_R4S_287_S,125,3,5,287,546.0,0.546,11,49.63636363636363,,125,0,
Plot126_Spalte3_Reihe6_R4S_168_V,126,3,6,168,608.0,0.608,10,60.8,,126,2i,
Plot127_Spalte3_Reihe7_R4S_530_W,127,3,7,530,446.0,0.446,10,44.6,,127,6i,
Plot128_Spalte3_Reihe8_R4S_319_A,128,3,8,319,97.0,0.097,10,9.7,,128,0,
Plot129_Spalte3_Reihe9_R4S_207_P,129,3,9,207,182.0,0.182,10,18.2,,129,2i,
Plot130_Spalte3_Reihe10_R4S_300_,130,3,10,300,428.0,0.428,9,47.55555555555556,,130,11i,
Plot131_Spalte3_Reihe11_R4S_173_,131,3,11,173,393.0,0.393,10,39.3,,131,0,
Plot132_Spalte3_Reihe12_R4S_487_,132,3,12,487,215.0,0.215,10,21.5,,132,15i,
Plot133_Spalte3_Reihe13_R4S_355_,133,3,13,355,802.0,0.802,10,80.2,big plants,133,0,
Plot134_Spalte3_Reihe14_R4S_256_,134,3,14,256,706.0,0.706,10,70.6,,134,0,
Plot135_Spalte3_Reihe15_R4S_513_,135,3,15,513,454.0,0.454,10,45.4,,135,0,
Plot136_Spalte3_Reihe16_R4S_317_,136,3,16,317,109.0,0.109,10,10.9,,136,10i,
Plot137_Spalte3_Reihe17_R4S_483_,137,3,17,483,288.0,0.288,10,28.8,,137,0,
Plot138_Spalte3_Reihe18_R4S_213_,138,3,18,213,554.0,0.554,10,55.4,,138,0,
Plot139_Spalte3_Reihe19_R4S_267_,139,3,19,267,305.0,0.305,10,30.5,,139,1,
Plot140_Spalte3_Reihe20_R4S_298_,140,3,20,298,687.0,0.687,10,68.7,,140,0,
Plot141_Spalte3_Reihe21_R4S_477_,141,3,21,477,600.0,0.6,10,60.0,,141,22i,
Plot142_Spalte3_Reihe22_R4S_167_,142,3,22,167,449.0,0.449,10,44.9,,142,0,
Plot143_Spalte3_Reihe23_R4S_214_,143,3,23,214,557.0,0.557,10,55.7,,143,0,
Plot144_Spalte3_Reihe24_R4S_220_,144,3,24,220,767.0,0.767,10,76.7,,144,0,
Plot145_Spalte3_Reihe25_R4S_457_,145,3,25,457,148.0,0.148,10,14.8,,145,1i,
Plot146_Spalte3_Reihe26_R4S_185_,146,3,26,185,462.0,0.462,9,51.333333333333336,,146,1? Mold in bag,
Plot147_Spalte3_Reihe27_R4S_495_,147,3,27,495,826.0,0.826,10,82.6,,147,1i,
Plot148_Spalte3_Reihe28_R4S_453_,148,3,28,453,152.0,0.152,10,15.2,,148,0,
Plot149_Spalte3_Reihe29_R4S_399_,149,3,29,399,373.0,0.373,10,37.3,,149,4i,
Plot150_Spalte3_Reihe30_R4S_254_,150,3,30,254,532.0,0.532,10,53.2,root with central damage (larvae?,150,1i,
Plot151_Spalte3_Reihe31_R4S_357_,151,3,31,357,501.0,0.501,10,50.1,,151,0,
Plot152_Spalte3_Reihe32_R4S_367_,152,3,32,367,566.0,0.566,10,56.6,,152,1i,
Plot153_Spalte3_Reihe33_R4S_160_,153,3,33,160,418.0,0.418,10,41.8,,153,0,
Plot154_Spalte3_Reihe34_R4S_541_,154,3,34,541,646.0,0.646,10,64.6,,154,5i,
Plot155_Spalte3_Reihe35_R4S_270_,155,3,35,270,395.0,0.395,10,39.5,,155,11i,
Plot156_Spalte3_Reihe36_R4S_361_,156,3,36,361,472.0,0.472,9,52.44444444444444,,156,0,
Plot157_Spalte3_Reihe37_R4S_302_,157,3,37,302,534.0,0.534,10,53.4,,157,0,
Plot158_Spalte3_Reihe38_R4S_405_,158,3,38,405,428.0,0.428,10,42.8,,158,0,
Plot159_Spalte3_Reihe39_R4S_162_,159,3,39,162,628.0,0.628,10,62.8,,159,6i,
Plot160_Spalte3_Reihe40_R4S_515_,160,3,40,515,434.0,0.434,10,43.4,,160,0,
Plot161_Spalte3_Reihe41_R4S_299_,161,3,41,299,332.0,0.332,10,33.2,,161,1,
Plot162_Spalte3_Reihe42_R4S_226_,162,3,42,226,554.0,0.554,10,55.4,,162,6i,
Plot163_Spalte3_Reihe43_R4S_234_,163,3,43,234,399.0,0.399,10,39.9,,163,0,
Plot164_Spalte3_Reihe44_R4S_290_,164,3,44,290,493.0,0.493,10,49.3,,164,0,
Plot165_Spalte3_Reihe45_R4S_163_,165,3,45,163,379.0,0.379,10,37.9,,165,4i,
Plot166_Spalte3_Reihe46_R4S_542_,166,3,46,542,489.0,0.489,10,48.9,,166,0,
Plot167_Spalte3_Reihe47_R4S_262_,167,3,47,262,271.0,0.271,10,27.1,,167,7i,
Plot168_Spalte3_Reihe48_R4S_362_,168,3,48,362,339.0,0.339,10,33.9,,168,0,
Plot169_Spalte3_Reihe49_R4S_484_,169,3,49,484,404.0,0.404,11,36.72727272727273,,169,0,
Plot170_Spalte3_Reihe50_R4S_301_,170,3,50,301,727.0,0.727,10,72.7,,170,0,
Plot171_Spalte3_Reihe51_R4S_247_,171,3,51,247,591.0,0.591,10,59.1,,171,0,
Plot172_Spalte3_Reihe52_R4S_454_,172,3,52,454,296.0,0.296,10,29.6,,172,0,
Plot173_Spalte3_Reihe53_R4S_396_,173,3,53,396,425.0,0.425,10,42.5,,173,0,
Plot174_Spalte3_Reihe54_R4S_164_,174,3,54,164,536.0,0.536,10,53.6,,174,1,
Plot175_Spalte3_Reihe55_R4S_534_,175,3,55,534,415.0,0.415,10,41.5,,175,0,
Plot176_Spalte3_Reihe56_R4S_322_,176,3,56,322,98.0,0.098,10,9.8,,176,0,
Plot177_Spalte3_Reihe57_R4S_371_,177,3,57,371,503.0,0.503,10,50.3,,177,0,
Plot178_Spalte3_Reihe58_R4S_313_,178,3,58,313,350.0,0.35,10,35.0,,178,11i,
Plot179_Spalte3_Reihe59_R4S_219_,179,3,59,219,492.0,0.492,10,49.2,,179,0,
Plot180_Spalte3_Reihe60_R4S_274_,180,3,60,274,355.0,0.355,10,35.5,,180,0,
Plot181_Spalte4_Reihe1_R4S_503_E,181,4,1,503,349.0,0.349,9,38.77777777777778,,181,8i,
Plot182_Spalte4_Reihe2_R4S_459_S,182,4,2,459,445.0,0.445,10,44.5,,182,0,
Plot183_Spalte4_Reihe3_R4S_278_L,183,4,3,278,337.0,0.337,10,33.7,,183,2i,
Plot184_Spalte4_Reihe4_R4S_348_W,184,4,4,348,172.0,0.172,10,17.2,,184,9i,
Plot185_Spalte4_Reihe5_R4S_281_M,185,4,5,281,436.0,0.436,10,43.6,,185,0,
Plot186_Spalte4_Reihe6_R4S_381_P,186,4,6,381,399.0,0.399,10,39.9,,186,0,
Plot187_Spalte4_Reihe7_R4S_158_L,187,4,7,158,534.0,0.534,10,53.4,,187,0,
Plot188_Spalte4_Reihe8_R4S_436_R,188,4,8,436,463.0,0.463,10,46.3,,188,6 inside,
Plot189_Spalte4_Reihe9_R4S_380_S,189,4,9,380,546.0,0.546,10,54.6,,189,0,
Plot190_Spalte4_Reihe10_R4S_323_,190,4,10,323,240.0,0.24,10,24.0,root with central damage (larvae?,190,0,
Plot191_Spalte4_Reihe11_R4S_276_,191,4,11,276,157.0,0.157,10,15.7,,191,1 inside,
Plot192_Spalte4_Reihe12_R4S_152_,192,4,12,152,378.0,0.378,10,37.8,,192,5i,
Plot193_Spalte4_Reihe13_R4S_504_,193,4,13,504,511.0,0.511,10,51.1,,193,0,
Plot194_Spalte4_Reihe14_R4S_172_,194,4,14,172,225.0,0.225,10,22.5,,194,1i,
Plot195_Spalte4_Reihe15_R4S_502_,195,4,15,502,436.0,0.436,10,43.6,,195,0,
Plot196_Spalte4_Reihe16_R4S_251_,196,4,16,251,345.0,0.345,10,34.5,,196,0,
Plot197_Spalte4_Reihe17_R4S_183_,197,4,17,183,343.0,0.343,10,34.3,,197,0,
Plot198_Spalte4_Reihe18_R4S_407_,198,4,18,407,288.0,0.288,10,28.8,,198,18i,
Plot199_Spalte4_Reihe19_R4S_159_,199,4,19,159,365.0,0.365,10,36.5,,199,0,
Plot200_Spalte4_Reihe20_R4S_372_,200,4,20,372,418.0,0.418,10,41.8,,200,0,
Plot201_Spalte4_Reihe21_R4S_324_,201,4,21,324,536.0,0.536,10,53.6,,201,1i,
Plot202_Spalte4_Reihe22_R4S_500_,202,4,22,500,610.0,0.61,10,61.0,,202,0,
Plot203_Spalte4_Reihe23_R4S_448_,203,4,23,448,320.0,0.32,10,32.0,,203,2 inside,
Plot204_Spalte4_Reihe24_R4S_549_,204,4,24,549,666.0,0.666,10,66.6,,204,0,
Plot205_Spalte4_Reihe25_R4S_205_,205,4,25,205,248.0,0.248,10,24.8,,205,7i,
Plot206_Spalte4_Reihe26_R4S_352_,206,4,26,352,463.0,0.463,11,42.090909090909086,,206,6i,
Plot207_Spalte4_Reihe27_R4S_346_,207,4,27,346,108.48,0.10848000000000001,10,10.848,,207,2i,
Plot208_Spalte4_Reihe28_R4S_439_,208,4,28,439,467.0,0.467,10,46.7,,208,3i,
Plot209_Spalte4_Reihe29_R4S_146_,209,4,29,146,334.0,0.334,10,33.4,,209,4 inside,
Plot210_Spalte4_Reihe30_R4S_523_,210,4,30,523,714.0,0.714,10,71.4,,210,0,
Plot211_Spalte4_Reihe31_R4S_239_,211,4,31,239,592.0,0.592,10,59.2,,211,0,
Plot212_Spalte4_Reihe32_R4S_347_,212,4,32,347,384.0,0.384,10,38.4,,212,0,
Plot213_Spalte4_Reihe33_R4S_304_,213,4,33,304,334.0,0.334,10,33.4,,213,0,
Plot214_Spalte4_Reihe34_R4S_418_,214,4,34,418,569.0,0.569,11,51.72727272727273,,214,0,
Plot215_Spalte4_Reihe35_R4S_237_,215,4,35,237,624.0,0.624,10,62.4,,215,27i,
Plot216_Spalte4_Reihe36_R4S_550_,216,4,36,550,738.0,0.738,10,73.8,,216,13i,
Plot217_Spalte4_Reihe37_R4S_365_,217,4,37,365,456.0,0.456,10,45.6,,217,0,
Plot218_Spalte4_Reihe38_R4S_238_,218,4,38,238,273.0,0.273,10,27.3,,218,2 inside,
Plot219_Spalte4_Reihe39_R4S_334_,219,4,39,334,122.0,0.122,11,11.090909090909092,,219,1i,
Plot220_Spalte4_Reihe40_R4S_206_,220,4,40,206,423.0,0.423,10,42.3,,220,0,
Plot221_Spalte4_Reihe41_R4S_339_,221,4,41,339,123.0,0.123,10,12.3,,221,5i ,
Plot222_Spalte4_Reihe42_R4S_315_,222,4,42,315,218.0,0.218,10,21.8,,222,5i / 1 pupae,
Plot223_Spalte4_Reihe43_R4S_533_,223,4,43,533,427.0,0.427,10,42.7,,223,1i,
Plot224_Spalte4_Reihe44_R4S_264_,224,4,44,264,282.0,0.282,10,28.2,,224,0,
Plot225_Spalte4_Reihe45_R4S_488_,225,4,45,488,240.0,0.24,10,24.0,,225,2i,
Plot226_Spalte4_Reihe46_R4S_392_,226,4,46,392,206.0,0.206,10,20.6,,226,0,
Plot227_Spalte4_Reihe47_R4S_368_,227,4,47,368,386.0,0.386,10,38.6,,227,1,
Plot228_Spalte4_Reihe48_R4S_485_,228,4,48,485,238.0,0.238,10,23.8,,228,0,
Plot229_Spalte4_Reihe49_R4S_260_,229,4,49,260,420.0,0.42,10,42.0,,229,0,
Plot230_Spalte4_Reihe50_R4S_435_,230,4,50,435,103.0,0.103,10,10.3,very little plants,230,1,
Plot231_Spalte4_Reihe51_R4S_401_,231,4,51,401,251.0,0.251,10,25.1,,231,2i,
Plot232_Spalte4_Reihe52_R4S_179_,232,4,52,179,188.0,0.188,10,18.8,,232,1,
Plot233_Spalte4_Reihe53_R4S_200_,233,4,53,200,161.0,0.161,10,16.1,,233,2i,
Plot234_Spalte4_Reihe54_R4S_148_,234,4,54,148,439.0,0.439,10,43.9,,234,0,
Plot235_Spalte4_Reihe55_R4S_397_,235,4,55,397,180.0,0.18,9,20.0,,235,1 pupae,
Plot236_Spalte4_Reihe56_R4S_492_,236,4,56,492,584.0,0.584,10,58.4,,236,0,
Plot237_Spalte4_Reihe57_R4S_496_,237,4,57,496,742.0,0.742,10,74.2,,237,0,
Plot238_Spalte4_Reihe58_R4S_388_,238,4,58,388,620.0,0.62,10,62.0,,238,0,
Plot239_Spalte4_Reihe59_R4S_422_,239,4,59,422,85.0,0.085,10,8.5,,239,1i,
Plot240_Spalte4_Reihe60_R4S_552_,240,4,60,552,955.0,0.955,9,106.11111111111111,,240,0,
Plot241_Spalte5_Reihe1_R4S_493_K,241,5,1,493,812.0,0.812,10,81.2,,241,0,
Plot242_Spalte5_Reihe2_R4S_376_V,242,5,2,376,347.0,0.347,10,34.7,,242,2i,
Plot243_Spalte5_Reihe3_R4S_512_R,243,5,3,512,418.0,0.418,10,41.8,,243,2 inside,
Plot244_Spalte5_Reihe4_R4S_461_H,244,5,4,461,383.0,0.383,10,38.3,,244,1i,
Plot245_Spalte5_Reihe5_R4S_316_B,245,5,5,316,903.0,0.903,9,100.33333333333331,,245,0,
Plot246_Spalte5_Reihe6_R4S_375_V,246,5,6,375,306.0,0.306,10,30.6,,246,40i,
Plot247_Spalte5_Reihe7_R4S_364_S,247,5,7,364,337.0,0.337,10,33.7,,247,0,
Plot248_Spalte5_Reihe8_R4S_284_N,248,5,8,284,603.0,0.603,10,60.3,,248,1 inside,
Plot249_Spalte5_Reihe9_R4S_452_G,249,5,9,452,304.0,0.304,10,30.4,,249,0,
Plot250_Spalte5_Reihe10_R4S_144_,250,5,10,144,359.0,0.359,10,35.9,,250,2i,
Plot251_Spalte5_Reihe11_R4S_194_,251,5,11,194,269.0,0.269,9,29.88888888888889,,251,4i,
Plot252_Spalte5_Reihe12_R4S_548_,252,5,12,548,549.0,0.549,10,54.9,,252,3i,
Plot253_Spalte5_Reihe13_R4S_244_,253,5,13,244,404.0,0.404,10,40.4,,253,0,
Plot254_Spalte5_Reihe14_R4S_460_,254,5,14,460,285.0,0.285,10,28.5,,254,2i,
Plot255_Spalte5_Reihe15_R4S_182_,255,5,15,182,197.0,0.197,10,19.7,,255,0,
